Well,Zone,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,MTP
B9,5,,,,,,,,,,,,,,,,,,,,,,
B10,5,P009,total60,UNKNOWN,SYBR,None,23.87688446,23.80892944,0.079647802,8065.577148,8405.704102,402.6602478,TRUE,0.440812542,TRUE,3,18,81.537323,84.52073669,69.75283051,,N,Y
B11,6,P009,total60,UNKNOWN,SYBR,None,23.72128296,23.80892944,0.079647802,8850.304688,8405.704102,402.6602478,TRUE,0.440812542,TRUE,3,18,81.53335571,84.51591492,,,N,Y
B12,6,P009,total60,UNKNOWN,SYBR,None,23.82862091,23.80892944,0.079647802,8301.231445,8405.704102,402.6602478,TRUE,0.440812542,TRUE,3,18,81.53335571,84.36679077,,,N,Y
C1,1,,total60,STANDARD,SYBR,None,15.95011139,15.79813862,0.137575105,1000000,,,TRUE,0.440812542,TRUE,3,10,83.02992249,,,,N,N
C2,1,,total60,STANDARD,SYBR,None,15.76221752,15.79813862,0.137575105,1000000,,,TRUE,0.440812542,TRUE,3,10,83.02992249,,,,N,N
C3,2,,total60,STANDARD,SYBR,None,15.6820879,15.79813862,0.137575105,1000000,,,TRUE,0.440812542,TRUE,3,10,83.02894592,,,,N,N
C4,2,17B1NL,total60,UNKNOWN,SYBR,None,,,,,,,TRUE,0.440812542,TRUE,3,18,,,,,N,N
C5,3,17B1NL,total60,UNKNOWN,SYBR,None,23.4024334,23.4024868,7.55E-05,10704.96582,10704.625,0.482683241,TRUE,0.440812542,TRUE,3,17,82.13079071,84.81497192,70.20110321,,N,Y
C6,3,17B1NL,total60,UNKNOWN,SYBR,None,23.40254021,23.4024868,7.55E-05,10704.2832,10704.625,0.482683241,TRUE,0.440812542,TRUE,3,17,82.13079071,84.66584778,70.05198669,,N,Y
C7,4,,,,,,,,,,,,,,,,,,,,,,
C8,4,,,,,,,,,,,,,,,,,,,,,,
C9,5,,,,,,,,,,,,,,,,,,,,,,
C10,5,P010,total60,UNKNOWN,SYBR,None,22.15490723,22.16580772,0.113534205,22535.68164,22423.73438,1510.886108,TRUE,0.440812542,TRUE,3,16,84.66991425,81.68649292,,,N,Y
C11,6,P010,total60,UNKNOWN,SYBR,None,22.05811691,22.16580772,0.113534205,23875.5332,22423.73438,1510.886108,TRUE,0.440812542,TRUE,3,16,84.66504669,69.30482483,,,N,Y
C12,6,P010,total60,UNKNOWN,SYBR,None,22.28439903,22.16580772,0.113534205,20859.98828,22423.73438,1510.886108,TRUE,0.440812542,TRUE,3,16,84.66504669,,,,N,N
D1,1,,total60,STANDARD,SYBR,None,19.69316483,19.80083466,0.11286886,100000,,,TRUE,0.440812542,TRUE,3,13,83.17905426,,,,N,N
D2,1,,total60,STANDARD,SYBR,None,19.79107094,19.80083466,0.11286886,100000,,,TRUE,0.440812542,TRUE,3,14,83.02992249,,,,N,N
D3,2,,total60,STANDARD,SYBR,None,19.9182682,19.80083466,0.11286886,100000,,,TRUE,0.440812542,TRUE,3,14,82.87982178,,,,N,N
D4,2,,,,,,,,,,,,,,,,,,,,,,
D5,3,,,,,,,,,,,,,,,,,,,,,,
D6,3,,,,,,,,,,,,,,,,,,,,,,
D7,4,P001,total60,UNKNOWN,SYBR,None,23.89422417,23.81782722,0.068007454,7982.556641,8359.420898,336.1042175,TRUE,0.440812542,TRUE,3,18,84.81850433,,,,N,N
