,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,X9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,X2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,X16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,X9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,X17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,X17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,X2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
VF0228,0.014956282,0.016607159,0.011644697,0.019864215,0.011665198,0.011874909,0.018145563,0.012029134,0.016336774,0.01187826,0.015808762,0.016323842,0.010908884,0.015418965,0.017768173,0.011636637,0.018233661,0.01704756,0.016143619,0.016849332,0.014458397,0.011948513,0.009763568,0.0172425,0.013810305,0.011055799,0.018914106,0.011517928,0.017292785,0.018419166,0.014973309,0.011979264,0.011494915,0.020648968,0.019542819,0.012238892,0.015999034,0.017018804,0.016601426,0.017196176,0.011053907,0.015255205,0.01039127,0.010958624,0.014355504,0.011093502,0.010673035,0.018346856,0.015276894,0.015407339,0.014860553,0.014292,0.012503473,0.016542883,0.013848091,0.016716347,0.014049587,0.013183416,0.010255508,0.007721423,0.009402283,0.019141115,0.016696212,0.017428756,0.017003936,0.019317563,0.01635514,0.015390965,0.015059565,0.015588713,0.017639598,0.015505661,0.017170997,0.015550973,0.018560105,0.019229481,0.008173077,0.014881758,0.012752241,0.01633378,0.011371468,0.014124393,0.006970097,0.013954393,0.015154437,0.013282051,0.010913674,0.010207057,0.012048193,0.017478411,0.013051175,0.0188396,0.013542344,0.016749211,0.0119066,0.011176022,0.015775057,0.017240086,0.018013894,0.013725394,0.01039261,0.01726161,0.017173588,0.021295301,0.011235955,0.013882356,0.010642863,0.015927708,0.017374168,0.017783747,0.010999606,0.014136718,0.011685187,0.018568392,0.02435312,0.014429094,0.008950243,0.013266273,0.011918773,0.013751199,0.016006803,0.013723305,0.015978865,0.016857684,0.014426741,0.015706582,0.018705182,0.020549545,0.012186023,0.017273958,0.015694346,0.012687356,0.012404288,0.013554629,0.015729195,0.006993007,0.016990376,0.010058676,0.016376724,0.023389636,0.014800052,0.011984965,0.011197383,0.015740711,0.01654344,0.013523276,0.013299308
VF0019,0.001227182,0.000670087,0.007545764,0.0007104,0.006061674,0.000725344,4.60E-05,0.00038956,5.35E-06,0.011231065,0.008024144,0.00131762,0.000580139,0.001903225,0.000848962,0.009009009,0.014838298,0.002100062,0.002251256,0.000164552,0.00046118,0.00069241,0.000652645,0.000910238,0.002663526,0.000196894,0.009706243,0.034800949,0.008149473,6.11E-05,0.000531597,0.00026304,0.002475533,0,0.004366927,0.000550063,0.002926385,0.000297581,4.66E-06,0.002018432,0.006208359,0.000273041,0.003953115,0.001945924,0.002732952,0.006339144,0.004661218,0.00012081,0,0.000324324,0.003228913,0.000361237,0.003612114,0.000288794,0.00300042,0.005282905,0.009917355,0.004364165,0.0005805,0.017360585,0.004925006,0.000992317,4.66E-05,0.000803374,0.000799367,2.57E-05,0,0.002396913,0.002164358,0.00020112,0.000432632,0.000348582,0.001214929,0.00196837,0.000785034,0.002111447,0.000137363,0.003834468,0.000847012,0.003837175,0.007580979,0.003042989,0.001433597,0.000633281,0.009221974,3.01E-05,0.000614855,0,0.000308928,0.001325736,0.001787993,0.000551767,0.000197802,0.000364666,0.01420301,0.035560071,0.000176012,0.000658566,6.94E-05,0.000166072,0.001154734,0.00219056,9.49E-05,0.002051382,0.002913025,0.001083223,0.0030994,0.000408641,0.006524681,7.66E-05,0.015469565,0.00656572,0.000229121,2.00E-05,0.00608828,0.008490589,4.46E-05,0.003863255,0.000122453,0.006715702,0.000158853,0.023240483,0.000165584,0.002644166,0.001701434,0.000991608,0.006475357,0.007161205,0.023625964,0.000188959,0.000707532,0.001274955,0.006738132,0.001067085,0.000583117,0,0.001308734,0.003073484,0.001660004,0.00062817,0.000801915,0.001790857,0.014136022,0.000422242,0.000174862,0.000114067,0.003189871
VF0003,0.013192207,0.005420705,0.006684056,0.005359471,0.01984141,0.006424471,0.004126083,0.004800636,0.004949727,0.008413535,0.011114039,0.006246492,0.007450802,0.00617554,0.005213827,0.02027027,0.009482629,0.005250154,0.005329896,0.00540342,0.005380433,0.005486019,0.005708468,0.005149344,0.009776526,0.006434356,0.007462422,0.011237806,0.008745776,0.004831415,0.005105544,0.004942953,0.00882748,0.004424779,0.007328557,0.003829811,0.007510871,0.005299778,0.005188965,0.007089651,0.009691096,0.004774453,0.007389927,0.013211798,0.008188844,0.009508716,0.005410636,0.004747523,0.00700191,0.006459125,0.009932212,0.007271043,0.006390664,0.005708916,0.011256819,0.011205929,0.014049587,0.00533398,0.005066186,0.012465304,0.00861876,0.00511137,0.004964158,0.006293098,0.004691939,0.005537673,0,0.006613888,0.008912062,0.005225331,0.006450154,0.004718302,0.005005508,0.009526569,0.005224044,0.006701135,0.005254121,0.006401088,0.012438533,0.006111092,0.008959338,0.014581721,0.005611258,0.006193928,0.017559183,0.004224105,0.005733522,0.008165646,0.004942848,0.005389831,0.006740265,0.004627881,0.00429512,0.005156213,0.013817059,0.060452121,0.004851325,0.00586189,0.004928329,0.004415572,0.008660508,0.006701208,0.004683361,0.009149816,0.006658344,0.00748279,0.007314584,0.005005851,0.00649823,0.004745637,0.016148823,0.010021362,0.007790125,0.005423012,0,0.010895438,0.00513992,0.008674102,0.004272254,0.003837544,0.004513302,0.019141133,0.005404063,0.005500406,0.005246088,0.005398755,0.010130392,0.007783918,0.041283263,0.00507826,0.005788898,0.009391131,0.006049005,0.005644087,0.005621841,0.008991009,0.00567504,0.007264599,0.006319927,0.004916787,0.004133401,0.00382443,0.007081491,0.005870794,0.005280064,0.005665327,0.009078863
VF0244,0.006212609,0.011046436,0.008011552,0.012679286,0.008,0.009470914,0.012454943,0.01049844,0.012256594,0.00692945,0.009988263,0.01012615,0.010635878,0.012510155,0.010830696,0.007132132,0.011564868,0.010500309,0.010544342,0.012570987,0.011456681,0.009533955,0.012748331,0.012283873,0.008082954,0.009863289,0.011921269,0.010331532,0.010335917,0.012121933,0.0123707,0.009600947,0.005181347,0.008849558,0.013153315,0.008374703,0.012869504,0.010982159,0.012530873,0.012807344,0.007571169,0.01153033,0.012685954,0.004199099,0.009550314,0.003169572,0.01105598,0.012567548,0.010821133,0.011835869,0.009309088,0.010054417,0.006668519,0.012819949,0.010228703,0.012169963,0.009090909,0.007697903,0.010299485,0.009437295,0.005596597,0.012020146,0.013243964,0.012519248,0.012555282,0.012974099,0.004672897,0.012009429,0.010421656,0.011839529,0.01229069,0.012019844,0.009816627,0.009961144,0.013207601,0.011316338,0.009478022,0.011395174,0.007921134,0.01001356,0.010337698,0.009489552,0.012313105,0.009543649,0.010208827,0.012006937,0.009438023,0.007582386,0.013901761,0.01113562,0.008128312,0.011885352,0.008583176,0.013340005,0.006194519,0.003810008,0.013013872,0.014067884,0.012090187,0.011253847,0.006351039,0.01300621,0.012402936,0.006512325,0.002496879,0.013825345,0.011339036,0.011943459,0.012105929,0.011293986,0.010539463,0.006942699,0.009508535,0.012764935,0.00761035,0.006527447,0.012359009,0.005102413,0.008503691,0.006715702,0.011213172,0.006253482,0.012411281,0.011637036,0.008329936,0.008061406,0.010876576,0.00856231,0.005222581,0.00979435,0.014472245,0.007836308,0.009188361,0.010468018,0.011752041,0.006993007,0.010574106,0.006146968,0.011672138,0.009461325,0.010460276,0.010594263,0.008851864,0.011006723,0.011453443,0.012167146,0.007164941
VF0436,0.006442706,0.005395701,0.004867483,0.005170631,0.004687225,0.005491887,0.006074085,0.006162128,0.004770466,0.004753536,0.00323361,0.004636069,0.005118872,0.005419931,0.006062789,0.003378378,0.004014407,0.005991353,0.00717708,0.00540342,0.006189521,0.005805593,0.004786063,0.005249037,0.004118458,0.005212126,0.004119948,0.004152386,0.003975353,0.005734693,0.004884045,0.005173113,0.005430819,0.005899705,0.004393194,0.007020174,0.004979795,0.005271436,0.005505848,0.004920376,0.003634161,0.005638665,0.003452457,0.004096682,0.006106595,0.014263074,0.004438863,0.005772778,0.003182686,0.005787033,0.003927567,0.004793331,0.005001389,0.005639857,0.005035669,0.004804745,0.003305785,0.005970421,0.004626413,0.000656069,0.003357958,0.005735469,0.005268403,0.005623619,0.005456552,0.005349083,0.004672897,0.005485052,0.005650368,0.00523292,0.004965439,0.005583532,0.006382427,0.004874058,0.005880618,0.004283495,0.003674451,0.005148702,0.003544903,0.005168594,0.005168849,0.004590868,0.004076517,0.004699608,0.003641148,0.005272017,0.005272381,0.004957714,0.004016064,0.005112351,0.004675838,0.005040463,0.006972506,0.006258693,0.002045542,0.004064008,0.005412363,0.005610853,0.005417347,0.00537293,0.006062356,0.004148729,0.005723264,0.002995669,0.005826051,0.005458873,0.004949504,0.005349481,0.004902328,0.005390107,0.002037776,0.003487057,0.004009623,0.005539815,0.00152207,0.003141027,0.003587236,0.00590422,0.007381203,0.002558363,0.006354131,0.00091922,0.005351377,0.005495894,0.006468993,0.004046006,0.003136501,0.004514673,0.001989555,0.005928574,0.005660256,0.003638286,0.003445636,0.006085032,0.005188242,0.008991009,0.005373916,0.0036323,0.005262884,0.004544538,0.00567237,0.006238479,0.003531759,0.006321456,0.006363446,0.004892207,0.004760269
VF0159,0.031830035,0.047411163,0.037705529,0.043891911,0.023647577,0.033821731,0.049482322,0.048116537,0.052622285,0.038826122,0.021030444,0.044384257,0.027789785,0.044938841,0.045706739,0.02027027,0.036392286,0.047313156,0.041754055,0.051933291,0.04669245,0.040852197,0.041934614,0.048663034,0.034264028,0.048012482,0.038156035,0.03486686,0.037567084,0.048542379,0.043136864,0.038557228,0.027998465,0.032448378,0.045882283,0.044802596,0.041595291,0.048179796,0.052667878,0.047997012,0.028619019,0.047804653,0.044699409,0.028984023,0.03588876,0.072900158,0.04726277,0.046192023,0.028644176,0.049406644,0.031987009,0.044691444,0.024729091,0.055128294,0.040621066,0.044711889,0.024793388,0.040065462,0.045384582,0.023971739,0.027199463,0.04938495,0.047903039,0.043538417,0.043565526,0.048608938,0.042056075,0.045969009,0.043414471,0.046481535,0.042830595,0.046106156,0.04143718,0.037935853,0.045841223,0.046502875,0.057039835,0.045379697,0.027590642,0.045623113,0.037904893,0.040139309,0.048051891,0.043418604,0.028976055,0.051521559,0.048235366,0.051326917,0.06085882,0.048533703,0.036136287,0.045736981,0.047641923,0.044234879,0.023793902,0.024130048,0.047677194,0.057184402,0.049002369,0.044028721,0.032332564,0.047613242,0.048757809,0.031128911,0.026633375,0.045623637,0.040492471,0.047894571,0.044689659,0.047307651,0.025220211,0.031697663,0.027952801,0.05300535,0.02891933,0.035017546,0.044679826,0.031489176,0.04209667,0.02878158,0.045039573,0.021968431,0.047771012,0.048172548,0.039841908,0.04555276,0.036335353,0.034249241,0.027356379,0.045987781,0.053450827,0.032371416,0.036370597,0.041554593,0.044466374,0.014985015,0.043176633,0.041911148,0.040048535,0.040365734,0.047366062,0.044331905,0.035766922,0.044879499,0.048562142,0.049834603,0.036168229
VF0100,0.003144654,0.004610599,0.004401695,0.004271391,0.002678414,0.003730338,0.003957359,0.005229545,0.005131663,0.005819176,0.002898273,0.003660054,0.002263679,0.004590466,0.004073302,0.000750751,0.003254671,0.005373687,0.004945066,0.004618929,0.004417619,0.00644474,0.005064525,0.004256444,0.004441776,0.004584293,0.003933886,0.002306881,0.00337905,0.004731765,0.004728996,0.003890795,0.00324314,0.010324484,0.002804027,0.005590011,0.00422212,0.004208647,0.00474626,0.004108694,0.001968504,0.004611631,0.00393747,0.00553052,0.004204541,0,0.005015338,0.004489576,0.000636537,0.004993807,0.004003097,0.004932268,0.008891359,0.004641634,0.004584557,0.0039911,0.005785124,0.004818766,0.004661595,0.000706535,0.00346989,0.004624573,0.004740631,0.004820245,0.004605052,0.004774743,0,0.005266246,0.004704599,0.004766169,0.004208332,0.004780549,0.004049763,0.006748696,0.004358128,0.004197379,0.00470467,0.004754432,0.005121287,0.004341544,0.00172295,0.00485471,0.004305189,0.004682943,0.002399074,0.005856251,0.00436547,0.003207932,0.005560704,0.005591634,0.003117225,0.004543376,0.003341434,0.004537128,0.000501737,0.001270003,0.004708315,0.004636044,0.004602317,0.004816099,0.002886836,0.003760143,0.004744085,0.003451532,0.002080732,0.004446915,0.004815991,0.005312332,0.003989754,0.004569873,0.00223498,0.002324705,0.002634895,0.004715517,0.00456621,0.002625702,0.00388171,0.005685546,0.003245008,0.003837544,0.005410355,0.000984215,0.004433138,0.004300153,0.004927069,0.004407147,0.002731791,0.004203316,0.001243472,0.004873555,0.004245192,0.002238945,0.005359877,0.004709285,0.004769594,0.00999001,0.004227326,0.005867561,0.004123957,0.004529028,0.005642888,0.006041682,0.003693519,0.006021015,0.004512193,0.005563935,0.003533395
VF0160,0.005138825,0.001325172,0.00270157,0.001303898,0.004123348,0.002445444,0.001119718,0.0011372,0.001147802,0.003118811,0.004503102,0.001805627,0.002013423,0.001670293,0.001080497,0.004129129,0.004839799,0.001667696,0.001577803,0.001105941,0.001326904,0.001793165,0.001418415,0.001066278,0.002863675,0.00122966,0.004480997,0.006689955,0.000795071,0.001253661,0.001417591,0.001315198,0.002513913,0,0.003211169,0.001512672,0.001531822,0.001232836,0.001134722,0.001199566,0.004694125,0.001142262,0.002200811,0.004199099,0.003323589,0.001584786,0.001799428,0.000956688,0.003182686,0.001207423,0.003682094,0.001565358,0.001944985,0.001161455,0.002675199,0.002383092,0.002479339,0.00266699,0.001178592,0.00888216,0.002126707,0.000973594,0.001071066,0.001316641,0.001112163,0.001071531,0.004672897,0.001874764,0.001618721,0.001146006,0.00092426,0.001076868,0.001150133,0.001559358,0.001060985,0.002554788,0.001510989,0.001623464,0.002407711,0.001920007,0.00206754,0.002154718,0.001477573,0.001655418,0.004871879,0.00110819,0.001091367,0.002041411,0.00154464,0.001782596,0.004928745,0.001222834,0.000826528,0.001068557,0.006773447,0.005334011,0.001474099,0.00128453,0.000971099,0.001328579,0.001443418,0.001760067,0.000963998,0.004884243,0.000832293,0.002095181,0.002412764,0.001095901,0.00218665,0.000968957,0.008874184,0.003110078,0.00355138,0.000994497,0,0.003803588,0.00105297,0.002988556,0.000918399,0.004157339,0.001065251,0.008370474,0.001113929,0.001475499,0.001985006,0.001756738,0.003832096,0.00381412,0.002984332,0.001598274,0.001929633,0.003824865,0.004977029,0.001534486,0.001240992,0,0.001250825,0.002794077,0.001325026,0.003094319,0.00127363,0.001692458,0.004008052,0.001396648,0.001338072,0.001026603,0.003189871
VF0123,0.000613591,0,0,4.50E-05,0.000281938,0.000207241,7.67E-05,1.18E-05,5.35E-06,0.000172957,0.000191621,0.000146402,0.001922421,0,0.000102904,0,3.75E-05,0,0,0,3.24E-05,0,0,4.33E-06,7.70E-05,8.17E-05,0,0,0.001192606,3.21E-06,0,7.67E-05,0.003473422,0.008849558,5.25E-05,6.88E-05,1.10E-05,1.42E-05,9.32E-06,0,0.000757117,0,7.82E-05,0.000307251,3.00E-05,0.003169572,1.65E-05,4.24E-05,0,3.52E-05,5.66E-05,0.000138937,0,1.05E-05,0.00010491,0,0,3.03E-05,1.76E-05,0,0.000783524,0,0,2.23E-05,0,0,0.004672897,2.49E-05,0.000224317,0,4.92E-05,0.000149392,9.72E-05,0.000724292,2.85E-05,0,0,3.09E-05,0.00058036,8.52E-06,0.00068918,3.52E-05,2.20E-05,0.000127767,7.94E-05,4.64E-06,3.07E-05,0.00058326,0.000617856,0,5.88E-05,4.97E-06,0.000190737,0.000152651,0,0.000254001,4.40E-05,0,3.47E-06,2.93E-05,0,3.81E-06,0,0.001530396,0.006658344,7.13E-05,0.000247952,0,7.49E-05,0,2.19E-05,9.42E-05,0.002405774,0,0,0,0,0.000656024,2.04E-05,0.001918772,9.34E-06,0.000111421,0,4.51E-05,0.000177233,6.73E-05,3.79E-05,0,0.000248694,6.30E-05,0,3.11E-05,0.000229709,0.000255748,2.99E-05,0.00999001,6.95E-05,0.000279408,4.47E-05,0.000232656,0,1.31E-05,0.000170747,7.31E-05,2.66E-05,0,0.000245375
VF0543,0.005752416,0.004115535,0.003819461,0.003507037,0.00415859,0.004248441,0.003466524,0.004839985,0.003959781,0.004402042,0.003544995,0.003440451,0.00442498,0.004113239,0.003841767,0.004129129,0.004417723,0.003829524,0.004021474,0.003206845,0.004207256,0.004118953,0.004725149,0.003099142,0.0035565,0.003975035,0.003734534,0.003575666,0.004969191,0.003535966,0.003433229,0.003868875,0.007963922,0.008849558,0.003204602,0.004682408,0.004117802,0.003896895,0.003581248,0.003541234,0.004088431,0.003674776,0.003778406,0.003994265,0.002973211,0,0.003738857,0.004094493,0.003182686,0.004274823,0.004191922,0.00433947,0.003612114,0.003563887,0.00396559,0.003489802,0.000826446,0.004515699,0.004987027,0.002170073,0.002462503,0.003463749,0.003948974,0.003079601,0.003805684,0.003630347,0.004672897,0.004256758,0.004092273,0.00393892,0.004100174,0.004481765,0.003855375,0.004158288,0.004091692,0.003479742,0.003537088,0.004313777,0.004211533,0.003692394,0.003445899,0.003843312,0.003984169,0.004705163,0.003629805,0.004013131,0.002997418,0.001749781,0.004016064,0.00445649,0.004105327,0.0033106,0.003729973,0.004749143,0.003917406,0.003048006,0.003740251,0.003922054,0.00347168,0.004034582,0.001732102,0.00390872,0.003582733,0.00481912,0.004993758,0.004903009,0.003843256,0.003826365,0.003513629,0.003673024,0.003703054,0.003487057,0.003780502,0.003764404,0.00304414,0.002920174,0.003426613,0.004810846,0.003245008,0.006715702,0.004709532,0.002520891,0.003921333,0.003352586,0.004164968,0.003397176,0.003161795,0.003969798,0.001243472,0.003920889,0.004502476,0.003980347,0.004287902,0.00483275,0.003782782,0.002997003,0.003057573,0.002514669,0.00384853,0.004226575,0.004292605,0.005313531,0.003109386,0.004441666,0.004398153,0.003776885,0.003189871
VF0300,0.004525234,0.007250943,0.006101821,0.007229891,0.001797357,0.003896131,0.005997392,0.008023358,0.008251328,0.004374146,0.002035977,0.005050875,0.002343306,0.00738565,0.00678312,0.00487988,0.004811661,0.006670784,0.006368937,0.009146015,0.006529338,0.008166889,0.006543853,0.008876984,0.005080714,0.007738316,0.005670466,0.003377933,0.0067581,0.008206655,0.007752453,0.006006072,0.002283631,0,0.006645609,0.006779521,0.007955594,0.008218906,0.008616431,0.007980347,0.001059964,0.007835514,0.005642838,0.000921753,0.005596044,0.003169572,0.007650656,0.008316327,0.005728835,0.007775959,0.003814271,0.007002431,0.003889969,0.0088145,0.005612673,0.0065053,0.002479339,0.006667475,0.008619552,0.000555135,0.001790911,0.008250588,0.007950725,0.007699002,0.007237751,0.007805033,0.009345794,0.007876992,0.006493073,0.007832304,0.006882786,0.007506956,0.005637271,0.006015883,0.007778973,0.007645226,0.009375,0.007150974,0.002964543,0.006878527,0.00103377,0.005892493,0.007502199,0.004944032,0.004599644,0.008415752,0.008131456,0.005832604,0.009267841,0.008439303,0.002811384,0.007943451,0.005700924,0.007564707,0.001196449,0,0.00701847,0.008844999,0.007987292,0.008039857,0.000288684,0.008042211,0.008524172,0.004167888,0.004577611,0.007411525,0.00811566,0.008312127,0.006934678,0.00833754,0.003242912,0.003172908,0.002634895,0.008713528,0.00608828,0.003656352,0.007924043,0.004810846,0.004979761,0.008954269,0.008437912,0.001448468,0.008038355,0.007733959,0.004590327,0.008300127,0.005109461,0.005059547,0.002735638,0.006298617,0.00649643,0.003638286,0.003062787,0.006878731,0.006115248,0,0.007041683,0.002235261,0.006677237,0.006359251,0.008030944,0.007924377,0.005958158,0.00697106,0.007629293,0.007629815,0.004662119
VF0558,0.038272741,0.042440517,0.046066421,0.041445978,0.033022026,0.035044453,0.041521589,0.048171627,0.040684079,0.044232432,0.040791396,0.03782056,0.036730747,0.041257379,0.038323343,0.037162162,0.040209725,0.046324892,0.038386793,0.042025747,0.04106929,0.039875721,0.044153607,0.042768162,0.035611187,0.036893528,0.038366463,0.040320986,0.032200358,0.041807971,0.044089308,0.047127936,0.029533679,0.026548673,0.039427112,0.050757024,0.039223437,0.036559963,0.038981313,0.038544143,0.04482132,0.040582854,0.03527295,0.025809095,0.040373603,0.039619651,0.043013321,0.03842424,0.034373011,0.038637527,0.039105723,0.037036008,0.03139761,0.041098757,0.04109316,0.03863462,0.034710744,0.051612317,0.045885923,0.058591976,0.038280725,0.042082993,0.041340043,0.042288724,0.041367266,0.042209754,0.021028037,0.040230342,0.043238655,0.039298128,0.037501352,0.043591388,0.036869047,0.039759365,0.042125396,0.038443015,0.037431319,0.039597072,0.035284337,0.044221669,0.033425224,0.041273834,0.040202287,0.036741383,0.034069125,0.042848465,0.039781112,0.044036162,0.052517763,0.041605121,0.047958217,0.04087547,0.048334228,0.039511177,0.051119259,0.023114046,0.042132823,0.037186162,0.04104629,0.043012748,0.033198614,0.037125224,0.039732661,0.030640487,0.051602164,0.040307293,0.045298925,0.038217211,0.042525052,0.040096806,0.040755511,0.0481905,0.02600527,0.039285965,0.01217656,0.049127629,0.040253784,0.034769298,0.055131127,0.034857691,0.044021043,0.045092851,0.040492838,0.042419457,0.051432926,0.034173752,0.040749219,0.04483537,0.023874658,0.044444619,0.04187303,0.037626718,0.031776417,0.041616326,0.041206902,0.028971029,0.0417405,0.032970103,0.039177591,0.039621237,0.044577049,0.048261295,0.034095402,0.039317266,0.039845666,0.038782778,0.042891495
VF0455,0.001457279,0.000215028,0.000908286,0.000287757,0.001867841,0.000642447,0.000122709,6.30E-05,1.87E-05,0.001026585,0.003473137,0.001146817,0.000716642,0.000153394,0.000377316,0.000375375,0.001050499,0.000123533,0.000134691,9.95E-05,5.66E-05,0.000266312,0.000200144,8.67E-05,0.001100821,0.000130025,0.000961321,0.002768257,0.000397535,2.89E-05,0.000110749,6.58E-05,0.00111303,0,0.000794584,0.000123764,0.000258049,2.83E-05,2.33E-06,0.000172393,0.000757117,0.000180357,0.001113443,0.001433839,0.000690746,0.006339144,0.000317062,5.55E-05,0.001273074,0.000230543,0.001774958,0.000263981,0,3.77E-05,0.000482585,0.000512866,0.003305785,0.000484907,0.000167114,0.002775675,0.001567047,2.50E-05,3.10E-05,0.000223159,8.69E-06,2.57E-05,0,0.000238697,0.000666889,6.07E-05,0.000275311,0.000112044,0.000242986,0.000818024,0.000176038,0.000551783,0.000206044,0.000255116,0.001199934,0.000422042,0.00034459,0.000985014,0.000189094,0.000288865,0.001122971,2.32E-05,0.000353542,0,0.001853568,0.000100902,0.002146768,7.95E-05,0.000113029,0.000161132,0.002836743,0.001778004,0.000286019,8.48E-05,2.77E-05,0.000244224,0.00317552,0.000480018,7.59E-05,0.00140015,0.001664586,0.000185288,0.001068101,0.000195033,0.0003086,2.70E-05,0.002695122,0.001413672,0.001947531,1.67E-05,0,0.001251503,0.000285551,0.001676507,8.84E-05,0.000319795,0.000121476,0.00281337,3.76E-05,0.000175977,0.000141786,0.000263205,0.001201482,0.002413015,0.001243472,0.000244071,0,0.001927981,0.000689127,0.000493858,0.000284082,0.001998002,0.000150562,0.000279408,0.00050619,0.000488577,4.13E-05,0.000118078,0.00075488,0.000194881,7.60E-05,2.53E-05,0.0001963
